Adipose,2.114690180703266,0.5753425783877906,88,2.1441882274320396
Adrenal Gland,2.114690180703266,0.5753425783877906,162,2.1274950454726036
Bone Marrow,2.114690180703266,0.5753425783877906,264,2.252159675698186
Cortex,2.114690180703266,0.5753425783877906,749,2.053843143679449
Colon,2.114690180703266,0.5753425783877906,80,2.176393873828244
Duodenum,2.114690180703266,0.5753425783877906,213,2.0637685548740414
Endometrium,2.114690180703266,0.5753425783877906,85,2.1065279914627197
Esophagus,2.114690180703266,0.5753425783877906,175,2.183679801895097
Fallopian Tube,2.114690180703266,0.5753425783877906,278,2.1010864744359328
Gallbladder,2.114690180703266,0.5753425783877906,110,2.137099453679236
Heart,2.114690180703266,0.5753425783877906,102,2.0889623744459827
Kidney,2.114690180703266,0.5753425783877906,185,2.109028564303004
Liver,2.114690180703266,0.5753425783877906,211,1.999704677970861
Lung,2.114690180703266,0.5753425783877906,110,2.027152113839797
Lymphatic,2.114690180703266,0.5753425783877906,182,2.135419690059144
Ovary,2.114690180703266,0.5753425783877906,145,2.074142351635702
Pancreas,2.114690180703266,0.5753425783877906,48,2.1454553009153505
Placenta,2.114690180703266,0.5753425783877906,233,2.08138833614915
Prostate,2.114690180703266,0.5753425783877906,125,2.1821442949685554
Rectum,2.114690180703266,0.5753425783877906,110,2.116759070947713
Salivary Gland,2.114690180703266,0.5753425783877906,71,2.3590448523473366
Skeletal Muscle,2.114690180703266,0.5753425783877906,173,2.0478889385324637
Small Intestine,2.114690180703266,0.5753425783877906,194,2.035504710841398
Smooth Muscle,2.114690180703266,0.5753425783877906,62,2.065703955029883
Spleen,2.114690180703266,0.5753425783877906,222,2.049030359446326
Stomach,2.114690180703266,0.5753425783877906,100,2.1553201357574214
Testis,2.114690180703266,0.5753425783877906,1466,2.1701127716453756
Thyroid,2.114690180703266,0.5753425783877906,173,2.0516942273496954
Tonsil,2.114690180703266,0.5753425783877906,253,2.214008810513026
Bladder,2.114690180703266,0.5753425783877906,102,2.180783338621224
Appendix,2.114690180703266,0.5753425783877906,127,2.1615314624184134
Skin,2.114690180703266,0.5753425783877906,311,2.1596906941251874
